flight,peak_g,peak_g_netto,mean_accel,peak_velocity,peak_height
1,2.329419426328406,1.329419426328406,2.5092606759411917,5.027649068702979,8.146838134068943
2,2.3210168141760406,1.3210168141760406,2.5181749584931916,5.065357964894345,8.248574038708842
3,2.4352968376934725,1.4352968376934725,2.692017929499412,5.408183261608882,8.767298822504848
4,2.2950348919912384,1.2950348919912384,2.7166507834141447,5.439153113708629,8.708222803686441
5,2.527122945099395,1.527122945099395,2.98649385366351,5.972987707327016,9.70116647522463
